"id","user","aviso","pedido","pedido_cliente","item","ordem","cliente","quant_a_fat","quant_fat","quant","entrega","data_saida","codprod","descricao","desenho","matriz","statuspv","statusav"
"8908","ANA GABRIELA",NULL,"2157","4201694968-10",NULL,"7167","GE_PLT","3",NULL,NULL,"2024-03-01",NULL,"HIHI300184-01","SUPORTE PARA 1 CHAVE LOCAL REMOTO","48125655","SIM","0","0"
"8909","ANA GABRIELA","046/24","2148","4515279139-10",NULL,"7163","WEG_ITAJAI","162",NULL,NULL,"2024-03-29",NULL,"14153893","BASE CONTATO MOVEL 15,88X245X101,6MM","10005184725","SIM","0","2"
"8910","ANA GABRIELA",NULL,"2148","4515279139-10",NULL,"7164","WEG_ITAJAI","162",NULL,NULL,"2024-03-29",NULL,"14153893-1","BASE CONTATO MOVEL 15,88X245X101,6MM POS.1","10004240441","SIM","0","0"
"8911","ANA GABRIELA",NULL,"2148","4515279139-10",NULL,"7165","WEG_ITAJAI","162",NULL,NULL,"2024-03-29",NULL,"14153893-2","BASE CONTATO MOVEL 15,88X245X101,6MM POS.2","10002883212","SIM","0","0"
"8912","ANA GABRIELA",NULL,"2148","4515279139-10",NULL,"7166","WEG_ITAJAI","162",NULL,NULL,"2024-03-29",NULL,"14153893-3","BASE CONTATO MOVEL 15,88X245X101,6MM POS.3","10005186798","SIM","0","0"
"8913","ANA GABRIELA","035/24","2155","4515263599","10","7155","WEG_ITAJAI","2",NULL,NULL,"2024-03-15",NULL,"11440086","LUVA TUBO DESCIDA 2""","10002871503","SIM","0","0"
"8914","ANA GABRIELA","045/24","2156","4515263599-20",NULL,"7156","WEG_ITAJAI","54",NULL,NULL,"2024-03-22",NULL,"11469602","SUPORTE CENTELHADOR 60,6MM","10003058629","SIM","0","0"
"8915","ANA GABRIELA",,"2151","4515389305-10",NULL,"7157","WEG_ITAJAI","24",NULL,NULL,"2024-03-29",NULL,"13201399","BASE CONTATO MOVEL 25,4X239X204MM","10003495163","SIM","0","0"
"8916","ANA GABRIELA",,"2152","4515389305-20",NULL,"7158","WEG_ITAJAI","48",NULL,NULL,"2024-03-29",NULL,"13201319","LATERAL CONTATO MOVEL AL 6101 25,4X254X2","10003495214","SIM","0","0"
"8917","ANA GABRIELA",,"2153","4515389305-30",NULL,"7159","WEG_ITAJAI","48",NULL,NULL,"2024-03-29",NULL,"13200338","LATERAL CONTATO MOVEL AL 6101 25,4X170X3","10003478658","SIM","0","0"
